id_registro,fecha,estado_reporte,es_futuro_simulado,dia_semana,id_cuenta_google,nombre_cuenta_google,responsable_cuenta,codigo_pais,pais,region,moneda,id_alias,alias,producto,id_campana,nombre_campana,canal_anuncio,dispositivo,estrategia_puja,estado_campana,presupuesto_diario,impresiones,clics,ctr,cpc_medio,inversion,conversiones,tasa_conversion,cpa,arpu_esperado_7d,arpu_esperado_30d,ltr_esperado_365d,ingresos_esperados_7d,ingresos_esperados_30d,ingresos_ltr_esperados,roas_7d,roas_30d,roas_ltr,beneficio_esperado_30d,beneficio_esperado_ltr,ratio_rentabilidad_ltr,margen_beneficio_ltr,puntuacion_calidad,flag_calidad_datos,evento_sintetico
REC-000004,2026-06-01,historico,False,lunes,GADS-001,Basebone_US_Core,Growth US,US,Estados Unidos,Norteamérica,USD,ALIAS-01-04,BB_US_ENT_U_01_04,Entretenimiento,CMP-001-04,US_ENT_UAC_GADS-001,UAC,movil,ROAS objetivo,activa,2200.0,71730,4161,0.05801,0.54,2228.63,233,0.056,9.56,1.76,5.6,14.79,410.58,1304.29,3445.07,0.1842,0.5852,1.5458,-924.34,1216.44,0.5458,0.3531,6,ok,sin_evento
REC-000021,2026-06-01,historico,False,lunes,GADS-001,Basebone_US_Core,Growth US,US,Estados Unidos,Norteamérica,USD,ALIAS-01-21,BB_US_FIT_D_01_21,Fitness,CMP-001-21,US_FIT_Display_GADS-001,Display,movil,Maximizar valor de conversion,activa,850.0,87111,2437,0.02798,0.36,872.63,100,0.04103,8.73,1.9,5.62,15.48,190.32,561.58,1547.75,0.2181,0.6435,1.7737,-311.05,675.12,0.7737,0.4362,9,ok,sin_evento
REC-000006,2026-06-01,historico,False,lunes,GADS-001,Basebone_US_Core,Growth US,US,Estados Unidos,Norteamérica,USD,ALIAS-01-06,BB_US_FIT_U_01_06,Fitness,CMP-001-06,US_FIT_UAC_GADS-001,UAC,movil,Maximizar conversiones,activa,400.0,82467,3822,0.04635,0.12,440.03,326,0.0853,1.35,0.5,1.32,3.6,162.79,429.91,1172.72,0.37,0.977,2.6651,-10.12,732.69,1.6651,0.6248,8,ok,sin_evento
REC-000020,2026-06-01,historico,False,lunes,GADS-001,Basebone_US_Core,Growth US,US,Estados Unidos,Norteamérica,USD,ALIAS-01-20,BB_US_FIT_U_01_20,Fitness,CMP-001-20,US_FIT_UAC_GADS-001,UAC,tablet,Maximizar conversiones,activa,3000.0,37350,2013,0.0539,1.16,2328.25,111,0.05514,20.98,2.5,5.8,18.08,277.5,643.38,2007.21,0.1192,0.2763,0.8621,-1684.87,-321.04,-0.1379,-0.1599,8,ok,sin_evento
REC-000003,2026-06-01,historico,False,lunes,GADS-001,Basebone_US_Core,Growth US,US,Estados Unidos,Norteamérica,USD,ALIAS-01-03,BB_US_FIT_Y_01_03,Fitness,CMP-001-03,US_FIT_YouTube_GADS-001,YouTube,movil,ROAS objetivo,activa,600.0,24937,859,0.03448,0.67,578.21,44,0.05122,13.14,2.48,6.52,18.66,109.15,286.96,821.18,0.1888,0.4963,1.4202,-291.25,242.97,0.4202,0.2959,10,ok,sin_evento
REC-000023,2026-06-01,historico,False,lunes,GADS-001,Basebone_US_Core,Growth US,US,Estados Unidos,Norteamérica,USD,ALIAS-01-23,BB_US_GAM_DG_01_23,Juegos,CMP-001-23,US_GAM_DemandGen_GADS-001,Demand Gen,movil,tCPA,activa,850.0,133455,4531,0.03395,0.21,940.3,195,0.04304,4.82,1.36,4.07,10.37,264.58,793.22,2021.73,0.2814,0.8436,2.1501,-147.08,1081.43,1.1501,0.5349,7,ok,sin_evento
REC-000016,2026-06-01,historico,False,lunes,GADS-001,Basebone_US_Core,Growth US,US,Estados Unidos,Norteamérica,USD,ALIAS-01-16,BB_US_GAM_D_01_16,Juegos,CMP-001-16,US_GAM_Discovery_GADS-001,Discovery,movil,tCPA,activa,600.0,55013,2207,0.04012,0.28,623.67,189,0.08564,3.3,1.0,2.92,8.03,189.4,552.78,1517.25,0.3037,0.8863,2.4328,-70.89,893.58,1.4328,0.5889,9,ok,sin_evento
REC-000026,2026-06-01,historico,False,lunes,GADS-001,Basebone_US_Core,Growth US,US,Estados Unidos,Norteamérica,USD,ALIAS-01-26,BB_US_GAM_D_01_26,Juegos,CMP-001-26,US_GAM_Discovery_GADS-001,Discovery,movil,tCPA,activa,2200.0,80243,3286,0.04096,0.72,2364.22,167,0.05082,14.16,2.35,6.15,17.52,391.77,1027.7,2926.29,0.1657,0.4347,1.2377,-1336.52,562.07,0.2377,0.1921,7,ok,sin_evento
REC-000029,2026-06-01,historico,False,lunes,GADS-001,Basebone_US_Core,Growth US,US,Estados Unidos,Norteamérica,USD,ALIAS-01-29,BB_US_GAM_D_01_29,Juegos,CMP-001-29,US_GAM_Display_GADS-001,Display,tablet,Maximizar conversiones,activa,250.0,176497,4487,0.02542,0.05,240.24,107,0.02385,2.25,0.73,2.17,5.71,78.32,231.7,611.4,0.326,0.9645,2.545,-8.54,371.16,1.545,0.6071,7,ok,sin_evento
REC-000013,2026-06-01,historico,False,lunes,GADS-001,Basebone_US_Core,Growth US,US,Estados Unidos,Norteamérica,USD,ALIAS-01-13,BB_US_GAM_PM_01_13,Juegos,CMP-001-13,US_GAM_PerformanceMax_GADS-001,Performance Max,movil,Maximizar valor de conversion,activa,2200.0,134801,6453,0.04787,0.4,2568.39,422,0.0654,6.09,1.45,4.26,11.84,610.68,1796.28,4995.78,0.2378,0.6994,1.9451,-772.11,2427.39,0.9451,0.4859,7,ok,sin_evento
REC-000007,2026-06-01,historico,False,lunes,GADS-001,Basebone_US_Core,Growth US,US,Estados Unidos,Norteamérica,USD,ALIAS-01-07,BB_US_GAM_U_01_07,Juegos,CMP-001-07,US_GAM_UAC_GADS-001,UAC,movil,ROAS objetivo,activa,2200.0,74214,4394,0.05922,0.58,2556.87,371,0.08443,6.89,1.58,5.31,13.65,586.6,1969.45,5063.74,0.2294,0.7703,1.9804,-587.42,2506.87,0.9804,0.4951,9,ok,sin_evento
REC-000010,2026-06-01,historico,False,lunes,GADS-001,Basebone_US_Core,Growth US,US,Estados Unidos,Norteamérica,USD,ALIAS-01-10,BB_US_GAM_U_01_10,Juegos,CMP-001-10,US_GAM_UAC_GADS-001,UAC,movil,ROAS objetivo,activa,400.0,82757,3302,0.03991,0.13,414.44,172,0.05209,2.41,0.65,2.19,6.02,111.86,376.27,1035.39,0.2699,0.9079,2.4983,-38.17,620.95,1.4983,0.5997,8,ok,sin_evento
REC-000024,2026-06-01,historico,False,lunes,GADS-001,Basebone_US_Core,Growth US,US,Estados Unidos,Norteamérica,USD,ALIAS-01-24,BB_US_GAM_U_01_24,Juegos,CMP-001-24,US_GAM_UAC_GADS-001,UAC,movil,Maximizar valor de conversion,activa,850.0,88573,3587,0.0405,0.24,857.51,200,0.05576,4.29,1.25,3.13,9.42,249.64,626.76,1883.96,0.2911,0.7309,2.197,-230.75,1026.45,1.197,0.5448,7,ok,sin_evento
REC-000008,2026-06-01,historico,False,lunes,GADS-001,Basebone_US_Core,Growth US,US,Estados Unidos,Norteamérica,USD,ALIAS-01-08,BB_US_LIF_PM_01_08,Estilo de vida,CMP-001-08,US_LIF_PerformanceMax_GADS-001,Performance Max,movil,Maximizar conversiones,activa,400.0,136504,7093,0.05197,0.06,399.78,596,0.08403,0.67,0.21,0.6,1.85,124.63,359.22,1100.1,0.3117,0.8985,2.7518,-40.56,700.32,1.7518,0.6366,8,ok,sin_evento
REC-000019,2026-06-01,historico,False,lunes,GADS-001,Basebone_US_Core,Growth US,US,Estados Unidos,Norteamérica,USD,ALIAS-01-19,BB_US_LIF_PM_01_19,Estilo de vida,CMP-001-19,US_LIF_PerformanceMax_GADS-001,Performance Max,movil,Maximizar valor de conversion,activa,400.0,41875,2400,0.05733,0.17,408.67,179,0.07458,2.28,0.8,1.81,5.5,142.69,324.39,984.8,0.3492,0.7938,2.4098,-84.28,576.13,1.4098,0.585,8,ok,sin_evento
REC-000017,2026-06-01,historico,False,lunes,GADS-001,Basebone_US_Core,Growth US,US,Estados Unidos,Norteamérica,USD,ALIAS-01-17,BB_US_LIF_U_01_17,Estilo de vida,CMP-001-17,US_LIF_UAC_GADS-001,UAC,movil,Maximizar conversiones,activa,850.0,115400,4427,0.03837,0.22,973.38,338,0.07635,2.88,0.92,2.45,6.68,311.42,828.73,2257.62,0.3199,0.8514,2.3194,-144.65,1284.24,1.3194,0.5688,8,ok,sin_evento
REC-000012,2026-06-01,historico,False,lunes,GADS-001,Basebone_US_Core,Growth US,US,Estados Unidos,Norteamérica,USD,ALIAS-01-12,BB_US_LRN_DG_01_12,Formación,CMP-001-12,US_LRN_DemandGen_GADS-001,Demand Gen,movil,tCPA,activa,600.0,86278,3961,0.04591,0.15,608.53,176,0.04443,3.46,0.98,3.08,8.15,172.51,542.09,1435.2,0.2835,0.8908,2.3585,-66.44,826.67,1.3585,0.576,7,ok,sin_evento
REC-000011,2026-06-01,historico,False,lunes,GADS-001,Basebone_US_Core,Growth US,US,Estados Unidos,Norteamérica,USD,ALIAS-01-11,BB_US_LRN_D_01_11,Formación,CMP-001-11,US_LRN_Display_GADS-001,Display,movil,ROAS objetivo,activa,1200.0,182031,5709,0.03136,0.23,1319.41,193,0.03381,6.84,1.64,4.5,13.63,315.66,867.57,2630.12,0.2392,0.6575,1.9934,-451.84,1310.71,0.9934,0.4983,8,ok,sin_evento
REC-000030,2026-06-01,historico,False,lunes,GADS-001,Basebone_US_Core,Growth US,US,Estados Unidos,Norteamérica,USD,ALIAS-01-30,BB_US_LRN_D_01_30,Formación,CMP-001-30,US_LRN_Display_GADS-001,Display,movil,tCPA,activa,250.0,75361,1698,0.02253,0.16,276.89,80,0.04711,3.46,1.0,2.94,8.5,79.96,235.45,680.31,0.2888,0.8503,2.457,-41.44,403.42,1.457,0.593,9,ok,sin_evento
REC-000022,2026-06-01,historico,False,lunes,GADS-001,Basebone_US_Core,Growth US,US,Estados Unidos,Norteamérica,USD,ALIAS-01-22,BB_US_MOB_Y_01_22,Contenido móvil,CMP-001-22,US_MOB_YouTube_GADS-001,YouTube,movil,Maximizar conversiones,activa,3000.0,122335,4934,0.04034,0.64,3156.08,281,0.05695,11.23,2.04,5.82,15.32,572.8,1635.7,4304.65,0.1815,0.5183,1.3639,-1520.38,1148.57,0.3639,0.2668,9,ok,sin_evento
REC-000059,2026-06-01,historico,False,lunes,GADS-002,Basebone_EU_Core,Growth EU,DE,Alemania,Europa,EUR,ALIAS-02-29,BB_DE_ENT_D_02_29,Entretenimiento,CMP-002-29,DE_ENT_Discovery_GADS-002,Discovery,movil,tCPA,activa,850.0,47842,2047,0.04279,0.42,860.63,89,0.04348,9.67,1.43,4.92,13.36,127.5,438.02,1189.34,0.1481,0.509,1.3819,-422.61,328.71,0.3819,0.2764,8,ok,sin_evento
REC-000037,2026-06-01,historico,False,lunes,GADS-002,Basebone_EU_Core,Growth EU,DE,Alemania,Europa,EUR,ALIAS-02-07,BB_DE_FIT_DG_02_07,Fitness,CMP-002-07,DE_FIT_DemandGen_GADS-002,Demand Gen,movil,Maximizar conversiones,activa,850.0,33484,1337,0.03994,0.72,963.99,54,0.04039,17.85,1.87,4.23,13.33,100.8,228.68,720.06,0.1046,0.2372,0.747,-735.31,-243.93,-0.253,-0.3388,7,ok,sin_evento
REC-000032,2026-06-01,historico,False,lunes,GADS-002,Basebone_EU_Core,Growth EU,DE,Alemania,Europa,EUR,ALIAS-02-02,BB_DE_GAM_DG_02_02,Juegos,CMP-002-02,DE_GAM_DemandGen_GADS-002,Demand Gen,movil,Maximizar valor de conversion,activa,1600.0,79423,2707,0.03409,0.59,1585.76,98,0.0362,16.18,1.83,4.99,14.3,179.32,488.75,1401.06,0.1131,0.3082,0.8835,-1097.01,-184.7,-0.1165,-0.1318,7,ok,sin_evento
REC-000047,2026-06-01,historico,False,lunes,GADS-002,Basebone_EU_Core,Growth EU,DE,Alemania,Europa,EUR,ALIAS-02-17,BB_DE_LIF_U_02_17,Estilo de vida,CMP-002-17,DE_LIF_UAC_GADS-002,UAC,movil,tCPA,activa,850.0,67005,3824,0.05707,0.22,833.45,336,0.08787,2.48,0.61,2.1,5.74,206.49,704.0,1928.5,0.2478,0.8447,2.3139,-129.45,1095.05,1.3139,0.5678,9,ok,sin_evento
REC-000043,2026-06-01,historico,False,lunes,GADS-002,Basebone_EU_Core,Growth EU,DE,Alemania,Europa,EUR,ALIAS-02-13,BB_DE_LRN_DG_02_13,Formación,CMP-002-13,DE_LRN_DemandGen_GADS-002,Demand Gen,movil,Maximizar conversiones,activa,400.0,79957,3138,0.03925,0.14,445.13,189,0.06023,2.36,0.82,2.23,5.84,154.17,422.26,1103.17,0.3463,0.9486,2.4783,-22.87,658.04,1.4783,0.5965,7,ok,sin_evento
REC-000060,2026-06-01,historico,False,lunes,GADS-002,Basebone_EU_Core,Growth EU,DE,Alemania,Europa,EUR,ALIAS-02-30,BB_DE_LRN_DG_02_30,Formación,CMP-002-30,DE_LRN_DemandGen_GADS-002,Demand Gen,movil,Maximizar valor de conversion,activa,850.0,23948,771,0.03221,0.7,541.25,32,0.0415,16.91,1.9,5.69,15.96,60.73,182.07,510.88,0.1122,0.3364,0.9439,-359.18,-30.37,-0.0561,-0.0594,9,ok,sin_evento
REC-000042,2026-06-01,historico,False,lunes,GADS-002,Basebone_EU_Core,Growth EU,DE,Alemania,Europa,EUR,ALIAS-02-12,BB_DE_LRN_U_02_12,Formación,CMP-002-12,DE_LRN_UAC_GADS-002,UAC,escritorio,ROAS objetivo,activa,1600.0,49462,2790,0.05641,0.57,1586.04,150,0.05376,10.57,1.82,4.87,15.17,273.1,730.61,2275.74,0.1722,0.4607,1.4349,-855.43,689.7,0.4349,0.3031,8,ok,sin_evento
REC-000049,2026-06-01,historico,False,lunes,GADS-002,Basebone_EU_Core,Growth EU,DE,Alemania,Europa,EUR,ALIAS-02-19,BB_DE_MOB_PM_02_19,Contenido móvil,CMP-002-19,DE_MOB_PerformanceMax_GADS-002,Performance Max,tablet,ROAS objetivo,activa,400.0,74037,2958,0.03996,0.13,394.61,260,0.0879,1.52,0.4,1.41,3.71,104.86,366.49,965.79,0.2657,0.9287,2.4475,-28.12,571.18,1.4475,0.5914,7,ok,sin_evento
REC-000057,2026-06-01,historico,False,lunes,GADS-002,Basebone_EU_Core,Growth EU,FR,Francia,Europa,EUR,ALIAS-02-27,BB_FR_ENT_D_02_27,Entretenimiento,CMP-002-27,FR_ENT_Display_GADS-002,Display,movil,Maximizar valor de conversion,activa,1600.0,105148,2989,0.02843,0.54,1625.29,88,0.02944,18.47,1.44,4.16,12.92,126.29,365.64,1136.63,0.0777,0.225,0.6993,-1259.65,-488.66,-0.3007,-0.4299,7,ok,sin_evento
REC-000050,2026-06-01,historico,False,lunes,GADS-002,Basebone_EU_Core,Growth EU,FR,Francia,Europa,EUR,ALIAS-02-20,BB_FR_FIT_D_02_20,Fitness,CMP-002-20,FR_FIT_Display_GADS-002,Display,escritorio,tCPA,activa,1600.0,123524,2927,0.0237,0.49,1423.22,119,0.04066,11.96,1.84,5.19,14.07,218.8,618.2,1674.56,0.1537,0.4344,1.1766,-805.02,251.34,0.1766,0.1501,8,ok,sin_evento
REC-000048,2026-06-01,historico,False,lunes,GADS-002,Basebone_EU_Core,Growth EU,FR,Francia,Europa,EUR,ALIAS-02-18,BB_FR_GAM_U_02_18,Juegos,CMP-002-18,FR_GAM_UAC_GADS-002,UAC,movil,Maximizar conversiones,activa,3000.0,79973,3796,0.04747,0.67,2549.22,184,0.04847,13.85,1.25,4.2,11.59,230.57,773.04,2132.57,0.0904,0.3032,0.8366,-1776.18,-416.65,-0.1634,-0.1954,8,ok,sin_evento
REC-000052,2026-06-01,historico,False,lunes,GADS-002,Basebone_EU_Core,Growth EU,FR,Francia,Europa,EUR,ALIAS-02-22,BB_FR_LIF_D_02_22,Estilo de vida,CMP-002-22,FR_LIF_Display_GADS-002,Display,movil,Maximizar conversiones,activa,400.0,102767,2228,0.02169,0.19,414.94,75,0.03366,5.53,1.1,3.52,9.6,82.76,264.0,720.2,0.1995,0.6362,1.7357,-150.94,305.26,0.7357,0.4239,8,ok,sin_evento
REC-000056,2026-06-01,historico,False,lunes,GADS-002,Basebone_EU_Core,Growth EU,FR,Francia,Europa,EUR,ALIAS-02-26,BB_FR_LRN_D_02_26,Formación,CMP-002-26,FR_LRN_Discovery_GADS-002,Discovery,movil,tCPA,activa,1200.0,38476,1374,0.03573,0.68,930.56,67,0.04876,13.89,1.87,5.15,13.19,125.38,345.38,883.57,0.1347,0.3712,0.9495,-585.18,-46.99,-0.0505,-0.0532,8,ok,sin_evento
REC-000053,2026-06-01,historico,False,lunes,GADS-002,Basebone_EU_Core,Growth EU,FR,Francia,Europa,EUR,ALIAS-02-23,BB_FR_MOB_D_02_23,Contenido móvil,CMP-002-23,FR_MOB_Display_GADS-002,Display,movil,tCPA,activa,850.0,22877,652,0.02853,0.47,307.49,38,0.05828,8.09,1.1,3.54,9.74,41.91,134.58,370.17,0.1363,0.4377,1.2038,-172.91,62.68,0.2038,0.1693,7,ok,sin_evento
REC-000041,2026-06-01,historico,False,lunes,GADS-002,Basebone_EU_Core,Growth EU,NL,Países Bajos,Europa,EUR,ALIAS-02-11,BB_NL_ENT_D_02_11,Entretenimiento,CMP-002-11,NL_ENT_Discovery_GADS-002,Discovery,movil,tCPA,activa,3000.0,46448,2268,0.04884,0.69,1559.59,120,0.05291,13.0,1.5,4.45,13.62,180.28,533.93,1634.32,0.1156,0.3424,1.0479,-1025.66,74.73,0.0479,0.0457,8,ok,sin_evento
REC-000058,2026-06-01,historico,False,lunes,GADS-002,Basebone_EU_Core,Growth EU,NL,Países Bajos,Europa,EUR,ALIAS-02-28,BB_NL_FIT_D_02_28,Fitness,CMP-002-28,NL_FIT_Display_GADS-002,Display,movil,ROAS objetivo,activa,1200.0,37000,1162,0.03143,0.48,562.14,43,0.03701,13.07,1.87,5.07,13.81,80.48,217.93,593.83,0.1432,0.3877,1.0564,-344.21,31.69,0.0564,0.0534,9,ok,sin_evento
REC-000033,2026-06-01,historico,False,lunes,GADS-002,Basebone_EU_Core,Growth EU,NL,Países Bajos,Europa,EUR,ALIAS-02-03,BB_NL_FIT_PM_02_03,Fitness,CMP-002-03,NL_FIT_PerformanceMax_GADS-002,Performance Max,escritorio,tCPA,activa,400.0,16763,1012,0.06041,0.39,399.24,81,0.08004,4.93,1.28,3.79,9.85,103.59,306.71,798.23,0.2595,0.7682,1.9994,-92.53,398.99,0.9994,0.4998,10,ok,sin_evento
REC-000044,2026-06-01,historico,False,lunes,GADS-002,Basebone_EU_Core,Growth EU,NL,Países Bajos,Europa,EUR,ALIAS-02-14,BB_NL_LIF_DG_02_14,Estilo de vida,CMP-002-14,NL_LIF_DemandGen_GADS-002,Demand Gen,movil,ROAS objetivo,activa,600.0,62916,2732,0.04343,0.25,688.21,156,0.0571,4.41,1.15,3.06,8.03,180.12,477.47,1253.23,0.2617,0.6938,1.821,-210.74,565.02,0.821,0.4509,7,ok,sin_evento
REC-000036,2026-06-01,historico,False,lunes,GADS-002,Basebone_EU_Core,Growth EU,NL,Países Bajos,Europa,EUR,ALIAS-02-06,BB_NL_LIF_PM_02_06,Estilo de vida,CMP-002-06,NL_LIF_PerformanceMax_GADS-002,Performance Max,movil,tCPA,activa,1200.0,37685,1917,0.05089,0.68,1303.2,138,0.07199,9.44,1.59,3.95,11.02,219.9,544.85,1520.38,0.1687,0.4181,1.1667,-758.35,217.18,0.1667,0.1428,9,ok,sin_evento
REC-000035,2026-06-01,historico,False,lunes,GADS-002,Basebone_EU_Core,Growth EU,NL,Países Bajos,Europa,EUR,ALIAS-02-05,BB_NL_LRN_D_02_05,Formación,CMP-002-05,NL_LRN_Discovery_GADS-002,Discovery,escritorio,Maximizar conversiones,activa,1600.0,48949,1838,0.03756,0.72,1323.19,107,0.05822,12.37,1.67,5.41,14.33,178.76,578.95,1533.8,0.1351,0.4375,1.1592,-744.24,210.61,0.1592,0.1373,8,ok,sin_evento
REC-000039,2026-06-01,historico,False,lunes,GADS-002,Basebone_EU_Core,Growth EU,NL,Países Bajos,Europa,EUR,ALIAS-02-09,BB_NL_MOB_DG_02_09,Contenido móvil,CMP-002-09,NL_MOB_DemandGen_GADS-002,Demand Gen,escritorio,tCPA,activa,1200.0,12785,549,0.04299,0.75,409.38,44,0.08015,9.3,1.35,3.79,10.59,59.56,166.63,465.99,0.1455,0.407,1.1383,-242.75,56.61,0.1383,0.1215,9,ok,sin_evento
REC-000055,2026-06-01,historico,False,lunes,GADS-002,Basebone_EU_Core,Growth EU,NL,Países Bajos,Europa,EUR,ALIAS-02-25,BB_NL_MOB_D_02_25,Contenido móvil,CMP-002-25,NL_MOB_Display_GADS-002,Display,movil,Maximizar conversiones,activa,1200.0,55298,1129,0.02042,0.52,583.35,28,0.0248,20.83,1.73,4.48,13.63,48.42,125.52,381.71,0.083,0.2152,0.6543,-457.83,-201.64,-0.3457,-0.5283,8,ok,sin_evento
REC-000034,2026-06-01,historico,False,lunes,GADS-002,Basebone_EU_Core,Growth EU,NL,Países Bajos,Europa,EUR,ALIAS-02-04,BB_NL_MOB_U_02_04,Contenido móvil,CMP-002-04,NL_MOB_UAC_GADS-002,UAC,movil,tCPA,activa,850.0,29413,1247,0.04243,0.79,984.52,96,0.07698,10.26,1.19,3.48,9.82,114.47,334.2,943.15,0.1163,0.3395,0.958,-650.32,-41.37,-0.042,-0.0439,8,ok,sin_evento
REC-000040,2026-06-01,historico,False,lunes,GADS-002,Basebone_EU_Core,Growth EU,SE,Suecia,Europa,SEK,ALIAS-02-10,BB_SE_ENT_Y_02_10,Entretenimiento,CMP-002-10,SE_ENT_YouTube_GADS-002,YouTube,movil,Maximizar conversiones,activa,600.0,17949,738,0.04117,0.72,534.67,30,0.04065,17.82,1.85,5.7,14.72,55.44,170.87,441.5,0.1037,0.3196,0.8257,-363.8,-93.17,-0.1743,-0.211,10,ok,sin_evento
